atc_concept_id,meddra_concept_id
21604434,35104330
21604529,35708612
21604433,35305882
21604422,36919233
21603312,36617386
21600733,37420472
21600958,36919037
21600958,35506577
21603285,36315754
21600535,35708177
21602102,35708670
21603080,36919091
21602766,35708202
21604712,42889636
21601394,37522270
21603900,35708208
21602735,36313513
21604433,36315376
21600097,35204996
21602690,37119476
40252350,35205023
21600664,36311923
21603916,35205190
21601419,35104102
21603019,35808861
21603312,36314156
21602085,36313594
21604115,35205259
21603756,35707858
21604543,35406391
21601534,35708608
21601429,35909518
21601967,36312941
21602540,35809139
21604202,36718220
21603514,36717997
21603710,37521157
21602754,37420362
21604643,43053913
21604559,36919195
21600411,35104691
21603856,35708171
21603135,35708156
21602732,35708179
21600816,36110415
21600732,35204989
21602977,36110215
21603860,37219823
21600543,36009776
21604152,35104074
21604415,35406319
21601435,35708099
21601829,37019332
21604741,36717998
21601394,36718259
21603607,37420511
21603929,36312186
21602931,35809104
21604431,35809330
21601787,42889801
21603980,36314120
21604516,37520719
21604419,36416485
21601423,37420527
21603009,36315061
21603732,37521159
21604984,35808824
21601920,35205185
21603080,42890120
21604127,36314249
21604711,35104812
21602648,37522191
21603137,37420527
21600819,35708642
21604407,35808810
21604740,36517149
21604420,36313573
21603312,37219905
21603086,36148416
21604543,36918953
21603895,37219907
21600111,36416698
21602735,36919145
21600265,37622446
21602690,43562734
21604305,36718142
21604570,36919098
21603925,35707907
21600484,36718202
21600816,35204903
21602737,36718335
21600889,35104879
21604943,35809116
21604431,36211285
21603103,36315364
21602102,35708742
21604376,35809133
21603841,36313246
21604431,36313965
21604305,35708684
21603641,37320340
21604417,37219953
21604344,36311981
21602102,36110930
21604857,35809304
21601786,36718433
21601390,35227885
21601670,35506742
21604348,35228208
21603462,35205107
21604399,36416598
21603710,35707999
21601428,35708758
21603497,36255038
21602922,36718352
21604131,37080795
21604696,36416514
21601856,35809303
21600448,36718180
21604740,36313177
21603410,35205034
21602730,43053913
21603927,37420507
21604348,35808827
21600098,36110563
21602842,36110878
21601202,37220014
21601428,35909491
21604116,36718141
40252222,36718369
21600096,35205133
21605014,35809166
21603927,35809075
21603920,35406391
21600658,37219937
21601129,36315296
21602256,36718442
21602692,36110540
21602517,35506461
21603772,36110976
21602735,36416559
21604757,36918921
21603210,35809080
21603356,36918968
21600513,36818654
21604757,36315262
21604657,35809248
21604556,36919042
21600747,35306252
21601202,36416496
21602737,46276712
21602432,36312552
21604260,42889641
21601036,36313240
21603514,35708737
21602884,35204913
21605276,36316450
21601859,35205348
21604432,36211477
21604556,36516818
21603896,36315377
21600100,35406364
21604230,36416584
21604436,35506580
21604805,36009826
21601921,35809155
21604031,35809077
21601876,37219907
21601911,35708620
21604943,35607027
21603967,35606856
21600303,36009756
21603924,36718227
21603285,35808822
21600270,36718303
21600719,35204978
21604714,35708690
21602800,35406391
21602895,42889647
21600448,36009749
21600504,36315380
21603929,37520881
21603448,37320143
21604643,35809221
21600718,36255014
21600187,37119745
21604434,36718179
21604460,35707714
21601003,35607097
21600719,36416483
21603138,35708093
21600975,36009756
21603080,36211197
21603713,35708593
21604088,36718045
21603021,36009757
21604260,36718401
21600317,36316391
21602732,35104787
21603749,35607096
21603776,36718532
21603288,36313350
21604417,36818729
21600266,35809115
21604378,36718016
21603288,35506494
21604562,37219831
21604762,35506485
21601207,37520999
21604544,36314128
21603911,42889461
21602066,42889636
21602102,36416526
21600943,36516925
21604529,45885696
21604415,37220008
21603131,35707721
21603904,35305953
21603896,36718355
21601429,36918858
21603526,35306200
21604714,42889015
21603154,43562698
21603908,36009727
21600096,36313534
21603905,36516812
21600097,36313128
21604544,35809136
21603925,35306243
21602978,35506691
21601391,36617296
21602737,43053882
21604436,37520631
21600658,37622442
21603362,35708585
21604764,36718554
21601003,37320158
21601689,36516973
21603165,35306217
21603549,36110986
21604417,36316343
21601200,36313984
21602737,35809032
21600083,36009891
21603911,36416525
21601920,36009891
21604590,37622477
21604516,37521159
21603607,37019396
21604155,36516957
21604431,37320338
21600484,36110096
21600611,37320161
21602653,42888973
21603080,35606939
21603929,37521235
21600494,45885668
21602754,36516867
21601851,36315627
21602970,37119485
21603927,36009895
21601134,36313969
21603906,37219901
21600535,36617408
21603497,45886340
21604571,35809386
21600096,788391
21601392,36718478
21604757,35607414
21602075,36718233
21604431,35809087
21601911,36211484
21603312,36312378
21602870,36718277
21600965,37320134
21604436,35808780
21603285,36818708
21603097,35708724
21604415,35809050
21600034,36314157
21603967,43053906
21603080,45885696
21604740,36110664
21604756,36919041
21601129,35205036
21600187,36416501
21602898,46276768
21600862,35205251
21604431,36919064
21600664,35809330
21603800,36717995
21602579,36617163
21603578,36110591
21603732,36718347
21601860,35809180
21604460,36919107
21604543,36718119
21604305,36110253
21603312,37019238
21604718,37019321
21604714,42889463
21603895,35205341
21603718,36718183
21600664,37320293
21603927,36150314
21602898,35909428
21603356,36416516
21604559,35305414
21603906,36818706
21600604,37622502
21602806,35809215
43534827,37019450
21603103,36110720
21604272,35607483
21602102,35909612
21602085,36516779
21604714,35506588
21603009,36919230
21600938,36516876
21600878,35104746
21603924,36718357
21603793,37320268
21600303,36919101
21603967,36617410
21603929,35707552
21600399,35406429
21603194,35607340
21603312,36718149
21603913,37521016
21600098,36110649
21600084,37219832
21604051,36416667
21602909,35809165
21604348,37219999
21604590,35708117
21604824,36516781
21604305,36110031
21601689,35204981
21600543,36315744
21603927,35909645
21604344,36312074
21603097,36211181
21602737,37219944
21604402,36110736
21601670,37219894
21604657,45885570
21603193,35506461
21600535,36516815
21601518,35205315
21604417,36919230
21603621,36516876
21600098,37320214
21603081,36211744
21601429,36110708
21601212,36416572
21603021,42889647
21603019,36311779
21601139,35104691
21602925,36110643
21601134,36718540
21603481,36718458
21600505,35708593
21603019,36718325
21604562,37622477
21601392,36312921
21604711,35205159
21602504,36718477
21604438,36617537
21602735,35809387
21604696,36211465
21603967,35104101
21603615,36313476
21603134,36718422
21600234,35104119
21601786,36110577
21601144,36313476
21602692,36918936
21601423,37520829
45893474,37522181
21602732,37219867
21602985,35707930
21605265,36314494
21601786,36211297
21603163,36314117
21602823,35607307
21603916,35205257
43534867,35205185
21603160,35909528
21604643,36211184
21604745,36316202
21604898,37320212
21604419,35205038
21600141,37521313
21604712,36718509
21601747,35809079
21604571,37019453
21604566,35809066
21601518,36315377
21603913,37219831
21602800,36110917
21603927,36918861
21603266,37219907
21604344,35104877
21604088,37019316
21600782,36211179
21604712,36919036
21603693,35809116
21604711,36416509
21602482,36718395
21603497,35606961
21602338,36009825
21601747,36311820
21604431,36314365
21602648,36311846
21601747,36110977
21600575,36110554
21600719,36516874
21603256,37521795
43534814,36313176
21602256,36110321
21602480,37320109
21603896,36313468
21602096,35708268
21602734,35737823
21604260,35607345
21601392,43562827
21603886,37320341
21601157,37019273
21602066,36818729
21603607,36919022
21604544,35205232
21604826,36818653
21601534,42890076
21601045,36211303
21603718,36110534
21604433,36718312
43534823,37522181
21604556,45885695
21600493,36211503
21604344,36718478
21604151,37320345
21602096,36919128
21604438,35205185
21602338,36818761
21603605,36009757
21603514,37622471
21601518,35506746
21602734,36718457
21600924,36315483
21603945,35809225
21601435,35809005
21602096,35204964
21603178,36718171
21603086,37219868
21602870,35909503
21603821,35506577
21602734,36316136
21603900,36718509
21602732,35708603
21605269,36516749
21603924,36313276
21604131,35607130
21602741,37320212
21601432,35708006
21602485,36110492
21600957,35205023
21603911,36311984
21601423,36312648
21604563,35104856
21603925,36516924
21602542,36516865
21600111,36919033
21601392,36717985
21600819,35506636
21600398,36919053
21604764,37219959
21600514,35708093
21601408,35205184
21603134,36718566
21603978,35909449
21603967,37119558
21603356,36718562
21600083,35909483
21602754,36918900
21604571,36313435
21603732,36110224
21602823,788256
21602931,36110227
21604760,37219907
21603921,35809117
21600604,35708303
21602823,37622478
21602692,36211465
21603756,35707759
21603549,36009735
21600096,36416550
21601390,36313553
21604440,37622477
21603781,37219820
21604410,35708554
